species,longitude,latitude
barbatus,-96.7,17.122222
barbatus,-96.71,17.115
barbatus,-96.710417,17.114861
barbatus,-96.720472,17.158065
barbatus,-96.722222,17.066389
barbatus,-96.724722,17.148333
barbatus,-96.732023,17.211027
barbatus,-96.736717,17.144647
barbatus,-96.737258,17.176097
barbatus,-96.737641,17.202935
barbatus,-96.817,17.367
barbatus,-96.882999,17.276129
barbatus,-96.9,16.445
barbatus,-96.9,16.445
barbatus,-96.902047,17.812064
barbatus,-96.906848,17.858617
barbatus,-96.908333,17.291667
barbatus,-96.96,16.55
barbatus,-96.96,16.55
barbatus,-96.981944,16.491944
barbatus,-96.984114,16.491453
barbatus,-97.003333,16.468333
barbatus,-97.003333,16.468333
barbatus,-97.003333,16.468333
barbatus,-97.003444,18.054361
barbatus,-97.014341,18.088831
barbatus,-97.022388,16.700838
barbatus,-97.025472,16.71975
barbatus,-97.039444,16.741944
barbatus,-97.108333,17.775
barbatus,-97.115,17.46639
barbatus,-97.120306,17.642806
barbatus,-97.13333,17.83333
barbatus,-97.208333,17.958333
barbatus,-97.30085,17.513729
barbatus,-97.301224,17.513796
barbatus,-97.31017,17.54572
barbatus,-97.312665,17.547539
barbatus,-97.318703,17.722635
barbatus,-97.322629,17.544428
barbatus,-97.342722,17.889081
barbatus,-97.343306,17.807139
barbatus,-97.346669,17.883615
barbatus,-97.366667,18.7
barbatus,-97.369568,17.521469
barbatus,-97.387222,17.707222
barbatus,-97.403033,17.695917
barbatus,-97.404983,18.623497
barbatus,-97.41666,17.66666
barbatus,-97.41667,17.7
barbatus,-97.417,17.667
barbatus,-97.417389,17.592389
barbatus,-97.425,17.55
barbatus,-97.426254,17.908182
barbatus,-97.42722,17.68306
barbatus,-97.441667,17.691667
barbatus,-97.441667,17.691667
barbatus,-97.453065,17.914389
barbatus,-97.45697,17.49989
barbatus,-97.457032,17.43368
barbatus,-97.457032,17.43368
barbatus,-97.48275,17.56032
barbatus,-97.491667,17.825
barbatus,-97.51797,17.871723
barbatus,-97.53333,18.01667
barbatus,-97.540833,18.211667
barbatus,-97.541667,18.158333
barbatus,-97.54917,17.84056
barbatus,-97.55,17.83333
barbatus,-97.558333,17.475
barbatus,-97.558333,18.025
barbatus,-97.558333,18.025
barbatus,-97.57533,16.91403
barbatus,-97.578333,18.226667
barbatus,-97.59167,16.92
barbatus,-97.6,17.83333
barbatus,-97.61369,16.91897
barbatus,-97.62178,16.91803
barbatus,-97.648333,17.641111
barbatus,-97.68,17.268333
barbatus,-97.683641,17.258518
barbatus,-97.687325,17.287488
barbatus,-97.717917,17.226111
barbatus,-97.71961,17.22614
barbatus,-97.71972,17.22611
barbatus,-97.79663,19.48535
barbatus,-97.85,17.86667
barbatus,-97.957367,17.388663
barbatus,-98,18.833333
barbatus,-98,18.833333
barbatus,-98.01667,17.35
barbatus,-98.020833,18.977778
barbatus,-98.040833,17.346389
barbatus,-98.05,17.31667
barbatus,-98.05,17.31667
barbatus,-98.058318,19.48232
barbatus,-98.06364,17.33283
barbatus,-98.06667,17.31667
