"species","longitude","latitude","geometry"
"flexuosus",-111.748505,34.886567,"POINT (-111.7485 34.88657)"
"flexuosus",-115.491335,36.123796,"POINT (-115.4913 36.1238)"
"flexuosus",-111.388787,34.216658,"POINT (-111.3888 34.21666)"
"flexuosus",-111.757214,34.754511,"POINT (-111.7572 34.75451)"
"flexuosus",-111.762844,34.797781,"POINT (-111.7628 34.79778)"
"flexuosus",-111.834205,34.852917,"POINT (-111.8342 34.85292)"
"flexuosus",-114.07968,36.538432,"POINT (-114.0797 36.53843)"
"flexuosus",-115.424278,36.149933,"POINT (-115.4243 36.14993)"
"flexuosus",-114.206069,36.58062,"POINT (-114.2061 36.58062)"
"flexuosus",-111.402887,34.220195,"POINT (-111.4029 34.22019)"
"flexuosus",-111.883777,34.808195,"POINT (-111.8838 34.8082)"
"flexuosus",-115.491335,36.123796,"POINT (-115.4913 36.1238)"
"flexuosus",-111.988175,36.038361,"POINT (-111.9882 36.03836)"
"flexuosus",-111.875488,34.735017,"POINT (-111.8755 34.73502)"
"flexuosus",-113.578865,37.193053,"POINT (-113.5789 37.19305)"
"flexuosus",-115.476708,36.09527,"POINT (-115.4767 36.09527)"
"flexuosus",-108.634927,32.626633,"POINT (-108.6349 32.62663)"
"flexuosus",-111.388755,34.216717,"POINT (-111.3888 34.21672)"
"flexuosus",-113.403345,37.2256,"POINT (-113.4033 37.2256)"
"flexuosus",-115.462636,36.067137,"POINT (-115.4626 36.06714)"
"flexuosus",-112.468227,34.885551,"POINT (-112.4682 34.88555)"
"flexuosus",-115.447022,36.160162,"POINT (-115.447 36.16016)"
"flexuosus",-114.915755,36.540037,"POINT (-114.9158 36.54004)"
"flexuosus",-108.741828,32.639039,"POINT (-108.7418 32.63904)"
"flexuosus",-116.332053,36.453442,"POINT (-116.3321 36.45344)"
"flexuosus",-111.395523,34.035914,"POINT (-111.3955 34.03591)"
"flexuosus",-113.473053,37.017826,"POINT (-113.4731 37.01783)"
"flexuosus",-115.479012,36.125358,"POINT (-115.479 36.12536)"
"flexuosus",-114.140975,36.522792,"POINT (-114.141 36.52279)"
"flexuosus",-113.54018,37.097316,"POINT (-113.5402 37.09732)"
"flexuosus",-113.566235,37.006352,"POINT (-113.5662 37.00635)"
"flexuosus",-115.482545,36.117097,"POINT (-115.4825 36.1171)"
"flexuosus",-111.828772,34.807234,"POINT (-111.8288 34.80723)"
"flexuosus",-114.522058,36.483369,"POINT (-114.5221 36.48337)"
"flexuosus",-113.624222,37.066472,"POINT (-113.6242 37.06647)"
"flexuosus",-116.063072,35.883572,"POINT (-116.0631 35.88357)"
"flexuosus",-114.547941,36.251495,"POINT (-114.5479 36.2515)"
"flexuosus",-113.599793,37.098633,"POINT (-113.5998 37.09863)"
"flexuosus",-113.620017,37.068553,"POINT (-113.62 37.06855)"
"flexuosus",-114.140197,36.523152,"POINT (-114.1402 36.52315)"
"flexuosus",-113.567324,37.111686,"POINT (-113.5673 37.11169)"
"flexuosus",-113.353063,37.228275,"POINT (-113.3531 37.22827)"
"flexuosus",-115.457731,36.153083,"POINT (-115.4577 36.15308)"
"flexuosus",-113.493101,37.157051,"POINT (-113.4931 37.15705)"
"flexuosus",-113.595297,37.12333,"POINT (-113.5953 37.12333)"
"flexuosus",-115.058705,35.932052,"POINT (-115.0587 35.93205)"
"flexuosus",-115.492465,36.155676,"POINT (-115.4925 36.15568)"
"flexuosus",-113.640083,34.92663,"POINT (-113.6401 34.92663)"
"flexuosus",-113.499809,37.155518,"POINT (-113.4998 37.15552)"
"flexuosus",-114.533211,36.487501,"POINT (-114.5332 36.4875)"
"flexuosus",-112.056048,34.767533,"POINT (-112.056 34.76753)"
"flexuosus",-114.627141,36.244447,"POINT (-114.6271 36.24445)"
"flexuosus",-114.623884,36.242901,"POINT (-114.6239 36.2429)"
"flexuosus",-108.16313,36.759125,"POINT (-108.1631 36.75912)"
"flexuosus",-116.332078,36.453406,"POINT (-116.3321 36.45341)"
"flexuosus",-116.320734,36.49667,"POINT (-116.3207 36.49667)"
"flexuosus",-111.751647,34.871628,"POINT (-111.7516 34.87163)"
