species,longitude,latitude
flexuosus,-112.366728,34.811747
flexuosus,-115.789863,35.399505
flexuosus,-114.422995,37.823245
flexuosus,-113.447045,37.016778
flexuosus,-111.795483,34.85414
flexuosus,-112.402873,34.868135
flexuosus,-115.455275,36.069612
flexuosus,-112.087119,34.503288
flexuosus,-115.483978,36.155525
flexuosus,-108.838575,37.010579
flexuosus,-111.885712,34.89585
flexuosus,-115.417562,36.051721
flexuosus,-113.618118,35.447727
flexuosus,-115.809493,35.719666
flexuosus,-112.087136,34.503603
flexuosus,-116.633492,36.842709
flexuosus,-113.255008,37.224989
flexuosus,-112.97593,37.198703
flexuosus,-112.091225,36.079186
flexuosus,-115.790413,35.399301
flexuosus,-113.254761,37.225067
flexuosus,-111.913798,34.783675
flexuosus,-115.789798,35.399287
flexuosus,-111.908967,34.792195
flexuosus,-115.451965,36.163333
flexuosus,-111.692182,34.769538
flexuosus,-115.859138,35.780217
flexuosus,-111.748405,34.865883
flexuosus,-113.985278,37.111944
flexuosus,-111.618004,34.634276
flexuosus,-114.094418,36.517103
flexuosus,-113.497895,37.155042
flexuosus,-115.473875,36.128551
flexuosus,-115.516442,35.88233
flexuosus,-114.548789,36.414517
flexuosus,-112.071305,34.862605
flexuosus,-115.442958,36.163595
flexuosus,-113.647653,37.171558
flexuosus,-112.015747,34.758378
flexuosus,-111.65107,36.663433
flexuosus,-115.424337,36.132606
flexuosus,-111.370103,34.036731
flexuosus,-111.903967,34.813727
flexuosus,-113.645722,37.206512
flexuosus,-111.905962,34.82151
flexuosus,-113.640013,34.926788
flexuosus,-115.473584,36.129321
flexuosus,-112.025925,34.771247
flexuosus,-115.581766,35.928849
flexuosus,-111.941586,34.720958
flexuosus,-111.973965,34.749706
flexuosus,-111.925787,34.775977
flexuosus,-113.402567,37.049115
flexuosus,-113.396972,37.210555
flexuosus,-111.422753,34.0923
flexuosus,-113.401095,37.19157
flexuosus,-111.905428,34.821338
flexuosus,-115.427469,36.158985
flexuosus,-114.140586,36.524505
flexuosus,-111.35903,34.094158
flexuosus,-111.793832,34.852091
flexuosus,-111.974095,34.749064
flexuosus,-110.374825,37.896424
flexuosus,-113.704475,37.154564
flexuosus,-113.596435,37.124639
flexuosus,-111.711435,34.675142
flexuosus,-112.088792,36.089553
flexuosus,-115.450522,36.16555
flexuosus,-111.608021,36.854262
flexuosus,-115.463006,36.102383
flexuosus,-115.462422,36.06843
flexuosus,-111.853944,34.88681
flexuosus,-111.760322,34.800436
flexuosus,-115.464066,36.066807
flexuosus,-111.380178,33.992644
flexuosus,-113.790658,36.9492
flexuosus,-110.896638,33.548287
flexuosus,-113.653131,36.984347
flexuosus,-114.256653,36.314962
flexuosus,-113.585967,37.119992
flexuosus,-111.505046,36.897682
flexuosus,-111.899357,34.74719
flexuosus,-111.604968,36.856133
flexuosus,-112.124733,36.084758
flexuosus,-114.525961,36.471987
flexuosus,-114.516874,36.240103
flexuosus,-114.528288,36.44904
flexuosus,-111.907987,34.76
flexuosus,-110.644859,33.590576
flexuosus,-114.642931,36.213097
flexuosus,-111.95677,34.685954
flexuosus,-113.795529,36.96977
flexuosus,-114.206352,36.580959
flexuosus,-112.507112,36.244633
flexuosus,-114.642927,36.212964
flexuosus,-114.516353,36.241068
flexuosus,-112.115687,36.088189
flexuosus,-112.05291,34.838225
flexuosus,-116.834179,36.894869
flexuosus,-114.34169,37.069138
flexuosus,-111.904183,34.866183
flexuosus,-112.1578,34.046342
flexuosus,-111.669233,36.817878
flexuosus,-115.431036,36.148419
flexuosus,-115.427742,36.146697
flexuosus,-113.578658,37.13725
flexuosus,-114.50021,36.283115
flexuosus,-114.233528,36.335863
flexuosus,-112.129597,33.966914
flexuosus,-113.647954,36.969067
flexuosus,-116.21187,36.560825
flexuosus,-113.7908,36.949356
flexuosus,-114.206305,36.580692
flexuosus,-113.998177,36.826691
flexuosus,-112.143797,34.100894
flexuosus,-114.244705,36.448238
flexuosus,-114.227254,36.456541
flexuosus,-114.187648,36.506704
flexuosus,-114.525832,36.472007
flexuosus,-111.730766,34.787605
flexuosus,-114.526007,36.471957
flexuosus,-114.526111,36.471885
flexuosus,-114.526041,36.471947
flexuosus,-114.39546,36.019026
flexuosus,-114.148056,36.428781
flexuosus,-113.646565,36.970711
flexuosus,-114.525973,36.472133
flexuosus,-114.200103,36.44527
flexuosus,-112.084743,34.672095
flexuosus,-111.681962,34.679855
flexuosus,-110.768578,33.404145
flexuosus,-114.483367,36.35808
flexuosus,-114.525959,36.471939
flexuosus,-112.180574,33.891665
flexuosus,-114.525406,36.472207
flexuosus,-114.205548,36.579394
flexuosus,-113.663392,37.120395
flexuosus,-113.6794,37.121928
flexuosus,-113.957393,36.85051
flexuosus,-114.176537,36.825203
flexuosus,-115.672225,36.050011
flexuosus,-113.432368,37.162582
flexuosus,-114.2297731,36.7773247
flexuosus,-113.4305575,37.1636214
flexuosus,-115.288194,37.694694
flexuosus,-114.203967,37.011533
flexuosus,-116.236139,36.110028
flexuosus,-116.223833,36.097806
flexuosus,-110.850584,37.616216
flexuosus,-117.424913,34.32833
flexuosus,-115.13389,41.13944
flexuosus,-111.57778,36.86806
flexuosus,-115.44444,36.29472
flexuosus,-109.012111,36.978524
flexuosus,-113.28389,37.296832
flexuosus,-117.037355,34.352215
flexuosus,-114.35833,38.84139
flexuosus,-115.16361,37.248996
flexuosus,-112.25,36
flexuosus,-113.88333,37.05528
flexuosus,-113.05,37.3
flexuosus,-114.56833,36.66528
flexuosus,-115.54083,36.24306
flexuosus,-116.98056,36.71722
flexuosus,-114.257528,37.066611
flexuosus,-116.6339,36.85
flexuosus,-113.747178,37.353589
flexuosus,-113.25,36
flexuosus,-114.525977,36.472038
flexuosus,-115.69159,35.711958
flexuosus,-114.526098,36.47198
flexuosus,-116.933221,36.790465
flexuosus,-112.829291,36.58139
flexuosus,-113.555043,36.742666
flexuosus,-114.186813,36.508162
flexuosus,-113.232403,36.273837
flexuosus,-113.776132,37.170843
flexuosus,-115.438297,36.194427
flexuosus,-113.776155,37.170833
flexuosus,-109.8840694,37.2581819
flexuosus,-115.496751,36.15676
flexuosus,-114.616272,37.740395
flexuosus,-115.431687,36.158958
flexuosus,-113.577702,37.159578
flexuosus,-115.472518,36.139164
flexuosus,-113.289259,37.196421
flexuosus,-112.976804,37.198739
flexuosus,-111.840067,34.834822
