species,decimalLatitude,decimalLongitude
barbatus,17.367,-96.817
barbatus,19.58583,-99.13167
barbatus,17.31587,-96.43948
barbatus,20.0475,-99.09
barbatus,20.05917,-99.12778
barbatus,17.46639,-97.115
barbatus,28.783,-105.15
barbatus,18.01667,-97.53333
barbatus,17.592389,-97.417389
barbatus,19.78,-98.54667
barbatus,23.39778,-105.81028
barbatus,17.33283,-98.06364
barbatus,19.88306,-101.435
barbatus,26.956137,-106.629513
barbatus,17.31667,-98.05
barbatus,18.158333,-97.541667
barbatus,17.22614,-97.71961
barbatus,28.5,-108.5
barbatus,17.291667,-96.908333
barbatus,20.16528,-99.017
barbatus,17.958333,-97.208333
barbatus,17.667,-97.417
barbatus,20.17917,-99.12639
barbatus,18.025,-97.558333
barbatus,17.825,-97.491667
barbatus,19.9,-102.367
barbatus,23.7,-99.75
barbatus,18.461667,-99.441667
barbatus,23.45583,-104.08333
barbatus,20.116633,-98.36173
barbatus,28.48333,-105.3
barbatus,19.260142,-99.142547
barbatus,19.248919,-99.141708
barbatus,18.893489,-98.073468
barbatus,19.725303,-99.905302
barbatus,19.48232,-98.058318
barbatus,19.48535,-97.79663
barbatus,19.366681,-98.226866
barbatus,17.521469,-97.369568
barbatus,20.010825,-98.338511
barbatus,19.493851,-98.819827
barbatus,19.4599,-98.784286
barbatus,19.31627,-99.191313
barbatus,19.257622,-99.138603
barbatus,19.257381,-99.139122
barbatus,21.929988,-101.913986
barbatus,19.317642,-99.193717
barbatus,20.83502,-101.045015
barbatus,19.261906,-99.136711
barbatus,20.83502,-101.045015
barbatus,21.950972,-101.069137
barbatus,28.2147,-107.4811
barbatus,19.261733,-99.136811
barbatus,19.261739,-99.136878
barbatus,19.263089,-99.142158
barbatus,17.513796,-97.301224
barbatus,17.513729,-97.30085
barbatus,22.024361,-100.996361
barbatus,22.024361,-100.996361
barbatus,21.921687,-101.86635
barbatus,21.51486,-101.36409
barbatus,22.029035,-100.99097
barbatus,21.485019,-101.351967
barbatus,21.940453,-101.916575
barbatus,21.921962,-101.91409
barbatus,21.486985,-101.359771
barbatus,21.389484,-101.64241
barbatus,21.398732,-101.655544
barbatus,21.969793,-101.082287
barbatus,21.969793,-101.082287
barbatus,22.027728,-100.947018
barbatus,19.507491,-99.110879
barbatus,19.314567,-99.183013
barbatus,19.314567,-99.183013
barbatus,19.478883,-98.096869
barbatus,27.19,-103.78
barbatus,16.91403,-97.57533
barbatus,23.88606,-99.80697
barbatus,16.91897,-97.61369
barbatus,16.92,-97.59167
barbatus,16.91803,-97.62178
barbatus,19.592629,-99.189094
barbatus,17.722635,-97.318703
barbatus,19.509689,-98.802292
barbatus,19.437005,-102.040704
barbatus,22.192717,-102.570427
barbatus,19.364331,-99.22495
barbatus,19.507614,-99.114303
barbatus,20.647936,-101.094687
barbatus,20.017709,-99.083427
barbatus,19.603035,-99.09092
barbatus,19.343889,-99.09
barbatus,19.209216,-99.118727
barbatus,19.483728,-99.257277
barbatus,22.337076,-103.595774
barbatus,19.325345,-99.182312
barbatus,19.507986,-99.112812
barbatus,19.459593,-98.767397
barbatus,19.608063,-99.114988
barbatus,19.324923,-99.181951
barbatus,19.946289,-99.980667
barbatus,19.588829,-98.87045
barbatus,21.751311,-102.720432
barbatus,18.90707,-98.310557
barbatus,19.801855,-99.881775
barbatus,19.603285,-99.120339
barbatus,19.607873,-99.095121
barbatus,24.020298,-104.695463
barbatus,19.536976,-98.626061
barbatus,19.368933,-99.253946
barbatus,18.905048,-98.307422
barbatus,28.342907,-106.698572
barbatus,19.6387,-101.187559
barbatus,20.17026,-100.47907
barbatus,20.755362,-99.759411
barbatus,19.797598,-98.99094
barbatus,20.821836,-100.452126
